Time,Bezirk,AnzahlFaelle
26.02.2020 00:00:00,Eisenstadt(Stadt),0
26.02.2020 00:00:00,Rust(Stadt),0
26.02.2020 00:00:00,Eisenstadt-Umgebung,0
26.02.2020 00:00:00,Güssing,0
26.02.2020 00:00:00,Jennersdorf,0
26.02.2020 00:00:00,Mattersburg,0
26.02.2020 00:00:00,Neusiedl am See,0
26.02.2020 00:00:00,Oberpullendorf,0
26.02.2020 00:00:00,Oberwart,0
26.02.2020 00:00:00,Klagenfurt Stadt,0
26.02.2020 00:00:00,Villach Stadt,0
26.02.2020 00:00:00,Hermagor,0
26.02.2020 00:00:00,Klagenfurt Land,0
26.02.2020 00:00:00,Sankt Veit an der Glan,0
26.02.2020 00:00:00,Spittal an der Drau,0
26.02.2020 00:00:00,Villach Land,0
26.02.2020 00:00:00,Völkermarkt,0
26.02.2020 00:00:00,Wolfsberg,0
26.02.2020 00:00:00,Feldkirchen,0
26.02.2020 00:00:00,Krems an der Donau(Stadt),0
26.02.2020 00:00:00,Sankt Pölten(Stadt),0
26.02.2020 00:00:00,Waidhofen an der Ybbs(Stadt),0
26.02.2020 00:00:00,Wiener Neustadt(Stadt),0
26.02.2020 00:00:00,Amstetten,0
26.02.2020 00:00:00,Baden,0
26.02.2020 00:00:00,Bruck an der Leitha,0
26.02.2020 00:00:00,Gänserndorf,0
26.02.2020 00:00:00,Gmünd,0
26.02.2020 00:00:00,Hollabrunn,0
26.02.2020 00:00:00,Horn,0
26.02.2020 00:00:00,Korneuburg,0
26.02.2020 00:00:00,Krems(Land),0
26.02.2020 00:00:00,Lilienfeld,0
26.02.2020 00:00:00,Melk,0
26.02.2020 00:00:00,Mistelbach,0
26.02.2020 00:00:00,Mödling,0
26.02.2020 00:00:00,Neunkirchen,0
26.02.2020 00:00:00,Sankt Pölten(Land),0
26.02.2020 00:00:00,Scheibbs,0
26.02.2020 00:00:00,Tulln,0
26.02.2020 00:00:00,Waidhofen an der Thaya,0
26.02.2020 00:00:00,Wiener Neustadt(Land),0
26.02.2020 00:00:00,Zwettl,0
26.02.2020 00:00:00,Linz(Stadt),0
26.02.2020 00:00:00,Steyr(Stadt),0
26.02.2020 00:00:00,Wels(Stadt),0
26.02.2020 00:00:00,Braunau am Inn,0
26.02.2020 00:00:00,Eferding,0
26.02.2020 00:00:00,Freistadt,0
26.02.2020 00:00:00,Gmunden,0
26.02.2020 00:00:00,Grieskirchen,0
26.02.2020 00:00:00,Kirchdorf an der Krems,0
26.02.2020 00:00:00,Linz-Land,0
26.02.2020 00:00:00,Perg,0
26.02.2020 00:00:00,Ried im Innkreis,0
26.02.2020 00:00:00,Rohrbach,0
26.02.2020 00:00:00,Schärding,0
26.02.2020 00:00:00,Steyr-Land,0
26.02.2020 00:00:00,Urfahr-Umgebung,0
26.02.2020 00:00:00,Vöcklabruck,0
26.02.2020 00:00:00,Wels-Land,0
26.02.2020 00:00:00,Salzburg(Stadt),0
26.02.2020 00:00:00,Hallein,0
26.02.2020 00:00:00,Salzburg-Umgebung,0
26.02.2020 00:00:00,Sankt Johann im Pongau,0
26.02.2020 00:00:00,Tamsweg,0
26.02.2020 00:00:00,Zell am See,0
26.02.2020 00:00:00,Graz(Stadt),0
26.02.2020 00:00:00,Deutschlandsberg,0
26.02.2020 00:00:00,Graz-Umgebung,0
26.02.2020 00:00:00,Leibnitz,0
26.02.2020 00:00:00,Leoben,0
26.02.2020 00:00:00,Liezen,0
26.02.2020 00:00:00,Murau,0
26.02.2020 00:00:00,Voitsberg,0
26.02.2020 00:00:00,Weiz,0
26.02.2020 00:00:00,Murtal,0
26.02.2020 00:00:00,Bruck-Mürzzuschlag,0
26.02.2020 00:00:00,Hartberg-Fürstenfeld,0
26.02.2020 00:00:00,Südoststeiermark,0
26.02.2020 00:00:00,Innsbruck-Stadt,0
26.02.2020 00:00:00,Imst,0
26.02.2020 00:00:00,Innsbruck-Land,0
26.02.2020 00:00:00,Kitzbühel,0
26.02.2020 00:00:00,Kufstein,0
26.02.2020 00:00:00,Landeck,0
26.02.2020 00:00:00,Lienz,0
26.02.2020 00:00:00,Reutte,0
26.02.2020 00:00:00,Schwaz,0
26.02.2020 00:00:00,Bludenz,0
26.02.2020 00:00:00,Bregenz,0
26.02.2020 00:00:00,Dornbirn,0
26.02.2020 00:00:00,Feldkirch,0
26.02.2020 00:00:00,Wien,1
27.02.2020 00:00:00,Eisenstadt(Stadt),0
27.02.2020 00:00:00,Rust(Stadt),0
27.02.2020 00:00:00,Eisenstadt-Umgebung,0
27.02.2020 00:00:00,Güssing,0
27.02.2020 00:00:00,Jennersdorf,0
27.02.2020 00:00:00,Mattersburg,0
27.02.2020 00:00:00,Neusiedl am See,0
27.02.2020 00:00:00,Oberpullendorf,0
27.02.2020 00:00:00,Oberwart,0
27.02.2020 00:00:00,Klagenfurt Stadt,0
27.02.2020 00:00:00,Villach Stadt,0
27.02.2020 00:00:00,Hermagor,0
27.02.2020 00:00:00,Klagenfurt Land,0
27.02.2020 00:00:00,Sankt Veit an der Glan,0
27.02.2020 00:00:00,Spittal an der Drau,0
27.02.2020 00:00:00,Villach Land,0
27.02.2020 00:00:00,Völkermarkt,0
27.02.2020 00:00:00,Wolfsberg,0
27.02.2020 00:00:00,Feldkirchen,0
27.02.2020 00:00:00,Krems an der Donau(Stadt),0
27.02.2020 00:00:00,Sankt Pölten(Stadt),0
27.02.2020 00:00:00,Waidhofen an der Ybbs(Stadt),0
27.02.2020 00:00:00,Wiener Neustadt(Stadt),0
27.02.2020 00:00:00,Amstetten,0
27.02.2020 00:00:00,Baden,0
27.02.2020 00:00:00,Bruck an der Leitha,0
27.02.2020 00:00:00,Gänserndorf,0
27.02.2020 00:00:00,Gmünd,0
27.02.2020 00:00:00,Hollabrunn,0
27.02.2020 00:00:00,Horn,0
27.02.2020 00:00:00,Korneuburg,0
27.02.2020 00:00:00,Krems(Land),0
27.02.2020 00:00:00,Lilienfeld,0
27.02.2020 00:00:00,Melk,0
27.02.2020 00:00:00,Mistelbach,0
27.02.2020 00:00:00,Mödling,0
27.02.2020 00:00:00,Neunkirchen,0
27.02.2020 00:00:00,Sankt Pölten(Land),0
27.02.2020 00:00:00,Scheibbs,0
27.02.2020 00:00:00,Tulln,0
27.02.2020 00:00:00,Waidhofen an der Thaya,0
27.02.2020 00:00:00,Wiener Neustadt(Land),0
27.02.2020 00:00:00,Zwettl,0
27.02.2020 00:00:00,Linz(Stadt),0
27.02.2020 00:00:00,Steyr(Stadt),0
27.02.2020 00:00:00,Wels(Stadt),0
27.02.2020 00:00:00,Braunau am Inn,0
27.02.2020 00:00:00,Eferding,0
27.02.2020 00:00:00,Freistadt,0
27.02.2020 00:00:00,Gmunden,0
27.02.2020 00:00:00,Grieskirchen,0
27.02.2020 00:00:00,Kirchdorf an der Krems,0
27.02.2020 00:00:00,Linz-Land,0
27.02.2020 00:00:00,Perg,0
27.02.2020 00:00:00,Ried im Innkreis,0
27.02.2020 00:00:00,Rohrbach,0
27.02.2020 00:00:00,Schärding,0
27.02.2020 00:00:00,Steyr-Land,0
27.02.2020 00:00:00,Urfahr-Umgebung,0
27.02.2020 00:00:00,Vöcklabruck,0
27.02.2020 00:00:00,Wels-Land,0
27.02.2020 00:00:00,Salzburg(Stadt),0
27.02.2020 00:00:00,Hallein,0
27.02.2020 00:00:00,Salzburg-Umgebung,0
27.02.2020 00:00:00,Sankt Johann im Pongau,0
27.02.2020 00:00:00,Tamsweg,0
27.02.2020 00:00:00,Zell am See,0
27.02.2020 00:00:00,Graz(Stadt),0
27.02.2020 00:00:00,Deutschlandsberg,0
27.02.2020 00:00:00,Graz-Umgebung,0
27.02.2020 00:00:00,Leibnitz,0
27.02.2020 00:00:00,Leoben,0
27.02.2020 00:00:00,Liezen,0
27.02.2020 00:00:00,Murau,0
27.02.2020 00:00:00,Voitsberg,0
27.02.2020 00:00:00,Weiz,0
27.02.2020 00:00:00,Murtal,0
27.02.2020 00:00:00,Bruck-Mürzzuschlag,0
27.02.2020 00:00:00,Hartberg-Fürstenfeld,0
27.02.2020 00:00:00,Südoststeiermark,0
27.02.2020 00:00:00,Innsbruck-Stadt,0
27.02.2020 00:00:00,Imst,0
27.02.2020 00:00:00,Innsbruck-Land,0
27.02.2020 00:00:00,Kitzbühel,0
27.02.2020 00:00:00,Kufstein,0
27.02.2020 00:00:00,Landeck,0
27.02.2020 00:00:00,Lienz,0
27.02.2020 00:00:00,Reutte,0
27.02.2020 00:00:00,Schwaz,0
27.02.2020 00:00:00,Bludenz,0
